Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
"Gambia, The",GMB,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,29.32
"Gambia, The",GMB,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,39.5
"Gambia, The",GMB,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,60.84
"Gambia, The",GMB,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,63.81
"Gambia, The",GMB,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,65.98
"Gambia, The",GMB,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,83.35
"Gambia, The",GMB,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,87.38
"Gambia, The",GMB,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,87.8
"Gambia, The",GMB,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,91.16
"Gambia, The",GMB,1965,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,93.63
"Gambia, The",GMB,1960,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,95.99
"Gambia, The",GMB,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,28.83
"Gambia, The",GMB,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,35.73
"Gambia, The",GMB,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,54.73
"Gambia, The",GMB,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,55.49
"Gambia, The",GMB,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,52.98
"Gambia, The",GMB,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,75.47
"Gambia, The",GMB,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,81.05
"Gambia, The",GMB,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,80.8
"Gambia, The",GMB,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,87.66
"Gambia, The",GMB,1965,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,89.82
"Gambia, The",GMB,1960,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,91.32
"Gambia, The",GMB,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,67.9
"Gambia, The",GMB,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,73.87
"Gambia, The",GMB,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,80.44
"Gambia, The",GMB,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,80.9
"Gambia, The",GMB,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,86.99
"Gambia, The",GMB,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,91.59
"Gambia, The",GMB,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,93.56
"Gambia, The",GMB,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,95.12
"Gambia, The",GMB,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,96.26
"Gambia, The",GMB,1965,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,96.7
"Gambia, The",GMB,1960,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,97.12
"Gambia, The",GMB,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,61.76
"Gambia, The",GMB,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,66.94
"Gambia, The",GMB,2000,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,73.25
"Gambia, The",GMB,1995,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,73.51
"Gambia, The",GMB,1990,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,79.79
"Gambia, The",GMB,1985,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,86.12
"Gambia, The",GMB,1980,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,89.21
"Gambia, The",GMB,1975,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,91.68
"Gambia, The",GMB,1970,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,93.93
"Gambia, The",GMB,1965,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,94.49
"Gambia, The",GMB,1960,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,95
"Gambia, The",GMB,2010,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,53.37
"Gambia, The",GMB,2005,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,65.73
"Gambia, The",GMB,2000,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,71.7
"Gambia, The",GMB,1995,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,72.1
"Gambia, The",GMB,1990,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,84.68
"Gambia, The",GMB,1985,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,88.52
"Gambia, The",GMB,1980,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,88.99
"Gambia, The",GMB,1975,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,92.4
"Gambia, The",GMB,1970,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,96.8
"Gambia, The",GMB,1965,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,96.8
"Gambia, The",GMB,1960,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,97.7
"Gambia, The",GMB,2010,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,48.15
"Gambia, The",GMB,2005,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,59.16
"Gambia, The",GMB,2000,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,64.06
"Gambia, The",GMB,1995,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,62.15
